ProductID,ProductName,Category,SupplierID,UnitPrice,UnitsInStock
1,American Sort,Watches,6,1174.46,445
2,Player Impact,Books,4,844.6,83
3,Least Hundred,Computers,8,2629.81,387
4,Down Offer,Electronics,6,600.41,330
5,Soldier Community,Electronics,11,4878.55,226
6,Put Left,Furniture,8,1711.74,480
7,Region Shake,Home Appliances,1,568.21,87
8,Dream Until,Groceries,3,1370.15,116
9,Third Former,Beauty,4,927.28,430
10,Dinner Your,Home Appliances,11,3210.24,378
11,Identify Military,Home Appliances,3,2114.85,1
12,Job Day,Watches,7,3903.23,403
13,Clearly Support,Toys,11,1710.8,459
14,Maintain Concern,Books,11,2173.41,388
15,First Federal,Computers,7,4888.72,500
16,Simple Fire,Groceries,5,208.26,455
17,Reality Company,Electronics,5,4446.07,130
18,East Them,Photography,10,3536.12,87
19,Surface Green,Beauty,3,3189.88,364
20,Magazine According,Groceries,1,3662.1,293
21,Reflect Usually,Computers,7,2967.98,297
22,Forward Ten,Home Appliances,6,2162.58,386
23,Authority Walk,Toys,6,4436.11,221
24,Worker Business,Beauty,9,4734.61,388
25,Loss Be,Watches,6,596.97,486
26,Your Change,Electronics,9,2127.63,45
27,Role Society,Watches,4,2790.9,382
28,Need Region,Beauty,4,4022.57,22
29,Set Her,Toys,11,3904.88,110
30,West Role,Furniture,12,1542.34,116
31,Enough Get,Watches,1,2218.08,243
32,Education Century,Watches,2,4285.8,378
33,All Market,Photography,10,1247.42,22
34,Easy Professor,Electronics,4,3492.36,333
35,Keep According,Photography,10,4152.26,334
36,Available Expert,Home Appliances,10,3486.82,373
37,Firm Second,Beauty,4,1602.51,224
38,Art Push,Photography,8,1516.43,301
39,Attention Door,Books,12,2389.11,130
40,People Establish,Books,4,3465.25,465
41,Firm Recently,Books,9,2082.94,310
42,Fall Statement,Home Appliances,2,4741.72,388
43,Government Sure,Home Appliances,3,3880.52,175
44,Price Specific,Photography,5,3301.19,282
45,True Face,Watches,6,4213.75,79
46,Put Support,Photography,6,1939.21,410
47,Win Door,Electronics,12,141.03,37
48,New Affect,Photography,3,733.34,225
49,Military Grow,Electronics,7,3944.26,133
50,Billion Agree,Clothing,1,415.31,105
51,Hour Rise,Watches,11,3316.48,293
52,Travel Sell,Home Appliances,12,2870.63,310
53,Fast But,Toys,7,4539.19,310
54,Want Begin,Sportswear,10,1433.12,100
55,Relate Quality,Computers,10,2288.27,420
56,Rise Certain,Sportswear,4,1266.09,2
57,South Tend,Home Appliances,5,2078.92,280
58,Stage Job,Beauty,1,50.3,257
59,Why Admit,Home Appliances,6,1637.97,4
60,Beat General,Sportswear,2,598.37,305
61,There May,Computers,9,564.97,306
62,Practice Easy,Clothing,5,1284.15,429
63,Last Election,Furniture,8,3045.37,358
64,Hold Along,Books,9,621.25,275
65,Discuss Time,Books,9,2379.61,483
66,Message Floor,Furniture,12,3663.29,231
67,Third Body,Computers,12,1249.46,291
68,Window Public,Toys,8,572.48,173
69,Prepare For,Photography,6,1941.98,260
70,Finish There,Photography,2,1167.77,496
71,Over Something,Home Appliances,6,1777.45,161
72,Suggest Into,Home Appliances,3,1283.22,18
73,Something Too,Beauty,12,4374.04,454
74,Detail Wait,Books,5,3192.61,336
75,Also Traditional,Computers,10,4651.12,268
76,Onto Face,Furniture,10,2623.16,128
77,Force Deep,Furniture,7,2252.61,161
78,Maintain Lose,Toys,10,527.05,97
79,Necessary Across,Toys,4,2035.58,379
80,Pressure Ago,Clothing,4,3305.15,184
81,Conference Scene,Computers,5,1866.2,479
82,Product Develop,Clothing,4,3631.63,277
83,Unit We,Groceries,5,3595.54,234
84,Mrs Personal,Home Appliances,9,4616.43,287
85,Manager Next,Home Appliances,4,2213.38,475
86,Which Seek,Electronics,6,280.29,248
87,Oil For,Books,5,2989.61,46
88,We South,Electronics,11,4167.05,68
89,Same Power,Computers,10,3162.92,221
90,Of Step,Furniture,5,4241.98,384
91,Address Everybody,Books,2,4677.47,390
92,Dream Drop,Photography,2,97.17,116
93,Easy Director,Books,4,48.61,425
94,Government Cup,Groceries,11,3218.86,483
95,Shake Campaign,Electronics,3,3137.11,427
96,Decade Style,Electronics,11,2849.7,420
97,Will Term,Watches,11,2116.66,49
98,Leave Off,Beauty,6,3337.88,483
99,Newspaper Final,Home Appliances,11,2318.47,372
100,Manager Learn,Watches,10,1349.65,384
101,Deal Community,Watches,5,3738.3,85
102,Tv Little,Beauty,4,3850.79,428
103,Management Yard,Electronics,5,1521.47,418
104,Stage Sure,Computers,9,1617.19,433
105,Billion Cold,Electronics,7,2248.89,319
106,Five Idea,Beauty,11,4632.75,205
107,Will Spring,Home Appliances,4,3583.99,101
108,Wonder House,Furniture,12,4940.05,65
109,Whole Send,Toys,7,2055.31,492
110,Card Show,Furniture,1,1171.43,51
111,Beat Personal,Beauty,9,2445.35,260
112,Each College,Groceries,8,2691.43,324
113,Reflect Direction,Books,5,2756.27,123
114,Building Local,Groceries,4,4492.55,358
115,Reality Likely,Computers,2,486.26,149
116,Send Nor,Groceries,10,2175.87,427
117,At Play,Computers,5,3878.11,14
118,Table Cut,Toys,12,2927.02,477
119,Pretty Up,Electronics,1,3617.65,447
120,May Traditional,Sportswear,9,536.67,15
121,Him Simply,Electronics,6,889.09,64
122,Along Wish,Furniture,7,2860.36,445
123,Doctor Choose,Toys,2,2438.53,34
124,Film Difficult,Clothing,7,1961.43,457
125,Wait Your,Watches,2,3488.75,216
126,Which Leader,Beauty,7,721.88,276
127,Save Include,Clothing,10,1930.6,234
128,None Serve,Photography,4,3236.12,48
129,Someone Ability,Home Appliances,11,2940.16,23
130,Onto State,Watches,2,4207.22,125
131,Ready Never,Clothing,1,2804.78,297
132,One Pattern,Photography,12,4620.49,186
133,Military Social,Home Appliances,10,699.87,93
134,Myself Admit,Clothing,12,1853.42,270
135,Best Outside,Beauty,2,452.92,354
136,Military Ability,Furniture,1,907.09,310
137,Box Real,Photography,11,4821.93,255
138,Second Together,Computers,4,4787.21,370
139,Close Claim,Toys,11,4726.02,74
140,Manager Something,Books,4,4028.66,174
141,Because Also,Home Appliances,9,2910.33,483
142,Traditional Answer,Photography,12,554.5,190
143,Statement After,Watches,1,3039.49,159
144,Study Usually,Books,5,3882.53,392
145,At Late,Groceries,11,3072.25,258
146,Ask Question,Electronics,3,3439.17,314
147,Interesting Policy,Home Appliances,10,4979.12,153
148,Across Upon,Sportswear,12,3225.59,425
149,Prepare System,Books,12,44.08,408
150,Away Prepare,Toys,2,2488.45,360
151,Table Offer,Sportswear,12,4807.37,88
152,Network Such,Groceries,7,4192.55,464
153,Property Partner,Books,8,4022.21,239
154,Hope Nation,Watches,5,2131.97,4
155,Line Knowledge,Home Appliances,6,2042.94,411
156,Lot Reason,Sportswear,2,708.47,80
157,Line Low,Electronics,3,4885.26,471
158,Local Experience,Photography,5,3460.19,460
159,Personal Whatever,Furniture,11,2640.74,341
160,Attorney Huge,Watches,3,4532.35,443
161,Rise Way,Watches,6,3584.02,340
162,During They,Groceries,1,910.2,120
163,Property Level,Toys,11,290.75,253
164,Feeling Yes,Photography,2,2948.81,357
165,Much Maintain,Sportswear,2,1971.05,102
166,Laugh On,Beauty,5,4861.57,313
167,Factor Give,Books,9,1101.73,416
168,West Degree,Computers,8,2159.82,37
169,Often Draw,Sportswear,9,1352.38,101
170,While Study,Computers,7,1563.31,67
171,Blue There,Toys,10,2323.83,388
172,Knowledge Color,Computers,12,3659.48,56
173,May Enjoy,Groceries,12,2667.39,305
174,Evidence Responsibility,Furniture,7,1528.47,435
175,During Task,Electronics,6,1452.57,490
176,Catch Might,Home Appliances,8,1123.66,27
177,Manager High,Watches,6,2255.07,48
178,Past Form,Groceries,12,3599.28,483
179,Away Method,Electronics,4,3319.87,380
180,According Parent,Sportswear,7,293.31,298
181,Discussion Future,Watches,2,2632.94,394
182,Want Those,Electronics,1,1126.0,467
183,If Huge,Toys,5,2953.49,228
184,Consumer Third,Photography,8,419.28,134
185,Example Will,Electronics,4,722.83,186
186,Center Argue,Watches,9,3715.19,37
187,Her West,Electronics,4,3891.79,7
188,Board Nature,Electronics,8,77.36,221
189,Deal Question,Watches,1,2631.87,404
190,Skill Pattern,Sportswear,6,3260.9,27
191,Now Enough,Furniture,3,4649.79,480
192,Air Inside,Beauty,1,153.19,192
193,Lead Add,Clothing,12,130.37,282
194,Interesting Reason,Home Appliances,6,3363.56,497
195,Newspaper Tv,Watches,7,4636.4,52
196,Total Everybody,Clothing,9,982.85,426
197,Enjoy Have,Photography,5,3133.17,355
198,Mother Thank,Electronics,6,745.57,482
199,Choice Matter,Home Appliances,2,1980.31,266
200,Trade Low,Sportswear,6,4980.37,99
201,Already Ask,Photography,5,3850.05,295
202,Ok Lose,Beauty,5,4687.96,161
203,Station Price,Watches,5,4570.89,65
204,Move Particularly,Beauty,11,3971.4,20
205,Hand Practice,Home Appliances,7,3003.17,409
206,Space Unit,Furniture,1,1601.41,456
207,Open Network,Photography,3,3162.14,428
208,Other First,Toys,2,4914.84,493
209,Explain Positive,Books,5,761.86,350
210,Shake Than,Toys,8,569.02,205
211,Though Media,Books,1,2624.45,7
212,Development Not,Photography,4,1701.7,378
213,Next Difference,Watches,12,3921.16,454
214,Office Consumer,Furniture,5,4237.56,391
215,Resource List,Computers,9,1168.74,287
216,Note Method,Watches,10,1687.95,367
217,Culture Or,Beauty,11,550.4,118
218,Forget Think,Clothing,2,6.54,409
219,Doctor I,Photography,6,343.24,475
220,Painting Note,Beauty,3,4209.17,418
221,Parent Ten,Beauty,5,2449.79,185
222,To Know,Watches,9,3241.12,39
223,Institution Open,Toys,12,4597.22,198
224,If My,Books,6,4636.56,37
225,Positive Summer,Computers,4,2306.05,451
226,Month Bar,Toys,8,2598.16,324
227,Few Hair,Beauty,12,2230.8,65
228,Back One,Beauty,4,2670.33,120
229,There Necessary,Beauty,6,2434.38,198
230,Trade Simply,Sportswear,4,1388.76,128
231,Actually Cell,Toys,10,1224.15,377
232,New Investment,Sportswear,11,2346.28,435
233,Ability Sit,Photography,7,3403.54,276
234,Economy Impact,Beauty,6,3731.91,223
235,Attention Beat,Home Appliances,7,1136.7,368
236,You Use,Books,6,4953.73,6
237,Artist Really,Groceries,3,2340.49,377
238,Certain However,Books,2,1199.89,121
239,Project Sit,Groceries,6,4797.55,9
240,Never Stay,Home Appliances,7,4626.49,187
241,Bring So,Computers,9,4813.71,255
242,Sense Five,Toys,6,4284.86,433
243,Allow Rise,Watches,10,3657.96,106
244,Away Ball,Clothing,2,4977.76,174
245,Certainly Including,Toys,8,3712.04,66
246,Different Check,Photography,3,3590.51,335
247,Can Picture,Home Appliances,7,1931.95,350
248,The Successful,Beauty,8,3893.95,280
249,Live Prevent,Furniture,11,688.21,450
250,Last How,Beauty,12,3637.1,185
251,Beat Try,Watches,5,3551.43,249
252,Travel Difficult,Watches,4,838.31,482
253,Return Government,Computers,2,4644.69,196
254,President Husband,Photography,9,4831.12,52
255,Best Statement,Sportswear,9,2853.89,157
256,Strong Result,Toys,1,3142.54,151
257,Law Station,Computers,1,2970.5,328
258,Oil Own,Clothing,8,4755.01,350
259,Write Cause,Electronics,10,2196.05,297
260,Alone Major,Electronics,10,2089.48,433
261,Debate Skin,Clothing,1,4755.77,186
262,Budget Difficult,Electronics,7,1850.11,302
263,Truth Interest,Groceries,1,511.73,263
264,Almost Radio,Clothing,9,1328.84,481
265,Professor Option,Groceries,5,3241.88,115
266,Interview Poor,Sportswear,8,1471.09,287
267,Off Offer,Photography,10,1092.67,89
268,Any Interesting,Home Appliances,12,3984.47,215
269,Add Center,Toys,7,1651.06,221
270,Control More,Photography,6,1394.22,57
271,Must Why,Sportswear,12,418.61,257
272,Section Claim,Furniture,2,2590.61,281
273,More Check,Electronics,6,4515.17,282
274,Drive Purpose,Books,1,2273.53,297
275,Affect Rich,Computers,1,4350.64,23
276,Money Finally,Toys,1,2447.18,277
277,Here Whatever,Furniture,7,537.71,431
278,Less Such,Clothing,8,4577.41,450
279,Drug End,Photography,8,688.98,9
280,I Feeling,Photography,9,3075.88,165
281,Which Simply,Computers,8,3540.89,130
282,Line Newspaper,Clothing,9,3281.82,183
283,Side Prepare,Watches,5,3050.67,438
284,Value Bit,Clothing,3,693.42,354
285,Avoid Writer,Groceries,3,3720.53,248
286,Take Rest,Sportswear,11,4877.49,478
287,Home Technology,Books,7,1429.64,108
288,Seek Sit,Books,4,4720.6,345
289,Color Speech,Clothing,3,960.43,490
290,Goal Ground,Electronics,11,4243.39,98
291,Space Listen,Clothing,9,4796.21,17
292,Police Choice,Home Appliances,11,526.58,341
293,Ball Light,Furniture,3,2646.32,461
294,Imagine Side,Toys,6,4599.44,161
295,Animal Outside,Beauty,10,60.64,117
296,Responsibility Church,Beauty,2,2205.45,14
297,Science She,Sportswear,10,159.9,161
298,Help Single,Groceries,4,3590.58,420
299,Stage Table,Furniture,1,3216.1,372
300,Cut Everything,Computers,1,4876.03,137
301,Movie Doctor,Electronics,6,3344.1,245
302,Third Cold,Electronics,12,666.87,425
303,Capital Event,Toys,11,3631.73,160
304,Development Reality,Photography,1,1356.84,105
305,Under Fire,Watches,5,3337.85,62
306,Stock Series,Electronics,2,4429.28,119
307,Worker Material,Furniture,3,1560.04,100
308,Follow Its,Clothing,10,3693.67,417
309,Right Movement,Beauty,1,4537.99,83
310,Car Miss,Furniture,4,2648.59,286
311,Including Individual,Electronics,1,3314.08,280
312,Personal Approach,Sportswear,10,2291.32,429
313,Account Not,Watches,3,2626.85,422
314,Nation Campaign,Home Appliances,3,4754.46,395
315,Especially Task,Electronics,1,1414.28,305
316,Both Government,Photography,12,3582.56,410
317,Few This,Watches,10,4352.81,192
318,Possible Good,Books,6,2604.48,428
319,Traditional Conference,Photography,7,2594.05,436
320,Institution Leader,Toys,8,2794.37,74
321,Return Police,Home Appliances,11,912.63,467
322,Building Available,Beauty,11,1880.58,63
323,Available Always,Watches,5,2356.83,441
324,Old Person,Watches,2,1194.29,212
325,Item Whether,Electronics,3,4983.42,446
326,Unit See,Computers,3,1442.43,360
327,Personal Food,Books,10,2797.8,451
328,Too Tax,Books,9,875.75,191
329,Air Share,Beauty,11,3867.77,73
330,Choose Per,Beauty,5,1908.82,117
331,Education Leave,Books,6,2372.87,149
332,Yard Huge,Computers,4,3105.47,496
333,Team Hard,Toys,3,3961.13,293
334,Again Very,Photography,9,2463.58,384
335,Adult Worry,Electronics,2,1411.8,199
336,Toward Arrive,Books,6,3015.08,343
337,Environment Why,Books,3,1670.32,239
338,Policy Movement,Toys,9,1314.74,492
339,Another Fear,Photography,9,3708.67,79
340,Green Ask,Toys,6,3487.76,291
341,Green Treatment,Groceries,8,3028.73,109
342,Air Close,Furniture,2,285.06,245
343,Pattern Bring,Beauty,11,4047.31,158
344,Because Attack,Books,5,1994.47,319
345,Fish Image,Sportswear,8,2540.12,318
346,Sort Phone,Sportswear,7,53.11,108
347,Lose Only,Clothing,9,4835.61,58
348,Morning Home,Groceries,9,691.03,328
349,Civil Coach,Groceries,7,2413.76,486
350,Add Fall,Sportswear,1,3067.76,424
351,Month Operation,Toys,10,662.67,56
352,Fund Hundred,Groceries,11,723.68,83
353,Could Already,Beauty,5,4118.35,17
354,News Save,Watches,4,2845.06,11
355,Serious Heavy,Sportswear,11,3088.22,387
356,Last Ready,Electronics,11,167.12,106
357,Lead Focus,Beauty,10,2532.39,362
358,Machine Result,Toys,6,245.53,303
359,Blood Positive,Photography,1,1395.86,58
360,Offer Because,Electronics,11,4697.63,317
361,Teacher Change,Home Appliances,7,4152.81,434
362,Forward Why,Clothing,9,1264.57,305
363,Woman Agency,Toys,1,348.51,201
364,Spring Behind,Beauty,9,4409.53,280
365,Wall Do,Furniture,11,2987.48,20
366,Parent Could,Books,6,3380.82,178
367,Behind Adult,Clothing,7,3731.68,185
368,Whether Try,Computers,3,1108.76,62
369,Or Actually,Clothing,10,174.54,421
370,Let Head,Toys,8,673.48,74
371,Discover Make,Furniture,1,4779.12,280
372,Scene Organization,Electronics,12,2974.69,113
373,Defense Subject,Furniture,9,4161.24,95
374,Rich Tax,Home Appliances,4,3565.02,55
375,Mrs Ball,Groceries,6,4009.53,279
376,Audience Word,Computers,11,4033.29,159
377,Which Establish,Home Appliances,2,4984.09,164
378,Section Letter,Furniture,9,1683.2,300
379,Talk Down,Clothing,11,988.78,65
380,Practice On,Toys,5,3633.87,254
381,Morning Although,Beauty,9,1299.94,278
382,Decide Family,Groceries,8,2033.09,34
383,Fly Keep,Watches,6,2116.27,333
384,Ask Author,Home Appliances,1,3953.68,42
385,Stand Figure,Watches,7,1212.46,394
386,Only Hope,Groceries,8,1794.41,69
387,Son Require,Sportswear,11,1270.45,100
388,Until Rise,Clothing,12,1653.05,268
389,Discussion Really,Watches,2,2928.97,183
390,Management Camera,Toys,9,2218.45,451
391,Human Time,Computers,3,1305.04,390
392,Give Above,Groceries,1,4972.7,281
393,Serve Somebody,Watches,3,490.4,376
394,Ok Name,Photography,1,4578.9,102
395,Threat Stay,Photography,12,1694.87,125
396,Prevent Kind,Computers,2,2931.68,13
397,Me Pass,Beauty,2,3090.05,298
398,Indeed Magazine,Furniture,4,4251.0,386
399,Many Nor,Groceries,11,818.54,419
400,Something Too,Furniture,1,1736.48,297
401,Claim Analysis,Beauty,3,425.65,358
402,Seat Financial,Toys,12,3524.75,214
403,Particularly Bill,Toys,9,2810.0,193
404,Fill Opportunity,Computers,9,2298.86,357
405,Him Grow,Groceries,3,4753.22,185
406,Mouth Above,Sportswear,6,4750.98,278
407,Hear Direction,Clothing,8,775.0,450
408,Performance Along,Beauty,11,2258.72,38
409,Evening Attack,Computers,10,545.89,160
410,Could Late,Beauty,9,3414.58,327
411,Design Hot,Watches,10,2867.25,431
412,Successful Policy,Beauty,12,508.44,176
413,Parent Trial,Photography,1,2497.33,30
414,Look Participant,Furniture,9,1590.82,461
415,Dinner Similar,Beauty,11,1352.55,87
416,Yourself American,Books,3,4898.7,124
417,Western Remember,Computers,7,4491.12,216
418,Trade Support,Watches,5,133.01,203
419,Simply Remember,Furniture,2,1404.55,212
420,Ever Finish,Photography,9,3058.6,9
421,Article Show,Groceries,8,3790.59,291
422,Subject Everybody,Furniture,11,2131.05,306
423,Throughout Land,Sportswear,6,4487.34,373
424,Care Whatever,Books,10,428.53,394
425,Send Difference,Electronics,7,4123.04,266
426,Risk Start,Clothing,5,4933.94,381
427,Very Until,Toys,9,3842.08,490
428,Lot Low,Toys,6,471.32,55
429,Management Become,Furniture,9,2800.79,210
430,Exist Simple,Groceries,5,29.3,126
431,Top Eat,Furniture,1,3126.18,186
432,Rest Short,Groceries,11,1985.57,158
433,Always Same,Home Appliances,12,3851.09,204
434,Pay Along,Sportswear,1,1077.51,78
435,Image Than,Electronics,6,616.6,475
436,Value Model,Electronics,8,133.62,300
437,Report North,Groceries,1,3183.69,249
438,Less Couple,Home Appliances,6,589.63,283
439,Theory It,Computers,3,4506.59,137
440,Performance Simply,Books,3,4849.9,78
441,Page Son,Beauty,11,2251.85,114
442,Fire Before,Home Appliances,11,2526.7,349
443,Serve Computer,Toys,1,2299.9,488
444,Ball State,Groceries,3,3887.92,378
445,Analysis His,Computers,5,1464.42,365
446,Ball Rate,Books,7,2752.21,392
447,Song Get,Furniture,4,398.12,150
448,Message Above,Toys,8,1855.4,348
449,Anyone Task,Beauty,12,4444.77,444
450,Program Leader,Beauty,11,4758.73,338
451,Face Truth,Books,10,1796.05,217
452,General Pm,Sportswear,2,915.99,376
453,Walk Detail,Computers,2,1010.55,324
454,Success State,Electronics,11,2326.82,169
455,Resource Ok,Photography,8,650.28,64
456,Hotel Teach,Clothing,7,2099.01,167
457,Happy Season,Computers,5,1945.25,56
458,Against Central,Computers,12,2454.57,100
459,Remain Court,Groceries,4,3656.78,302
460,Form Budget,Groceries,2,1474.08,495
461,Believe Table,Furniture,8,3943.91,314
462,Card Themselves,Beauty,6,4579.7,168
463,Indicate Ever,Computers,3,4497.34,228
464,Example Chair,Photography,10,380.63,234
465,But Back,Computers,2,4269.69,279
466,Trip She,Beauty,7,4063.25,436
467,Cover Important,Electronics,4,679.42,145
468,World Movement,Beauty,4,2612.58,436
469,Agree Peace,Electronics,8,4776.24,181
470,Improve Task,Watches,7,2785.08,255
471,Positive Government,Groceries,7,602.01,141
472,Effort West,Beauty,6,1905.81,219
473,Eye Foot,Clothing,9,629.97,70
474,Piece Commercial,Electronics,10,1213.02,152
475,Arm Agent,Computers,8,4810.64,302
476,Miss Miss,Books,3,111.92,484
477,Probably Threat,Home Appliances,9,3524.84,123
478,Protect Garden,Sportswear,5,1607.44,420
479,Cold Compare,Books,5,2681.12,205
480,North Employee,Books,7,372.27,161
481,Who Another,Computers,11,1960.4,315
482,Bed Blood,Home Appliances,5,4925.22,147
483,Amount Value,Books,4,2672.66,173
484,Character Scientist,Beauty,3,1307.56,326
485,People Court,Home Appliances,1,52.81,293
486,Meet Close,Photography,3,393.98,7
487,Church Word,Beauty,12,3093.87,361
488,Head Once,Toys,9,1233.37,311
489,Room Say,Sportswear,8,801.51,258
490,Common West,Electronics,12,3333.23,156
491,Whether Science,Sportswear,5,4553.45,333
492,Oil Such,Computers,7,4193.77,57
493,Art Officer,Home Appliances,2,4936.64,190
494,Sea Other,Beauty,8,940.62,10
495,Understand Grow,Groceries,6,859.27,332
496,Represent Leg,Beauty,10,4553.8,224
497,Kind Stand,Electronics,5,2590.74,414
498,Particularly Create,Sportswear,8,2733.3,441
499,Skin Start,Computers,4,2729.56,193
500,Former Anything,Groceries,12,4255.29,326
